GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice8,com.example,Salle,3,18,0,0,1,7,1,3,1,3
exercice8,com.example,ServiceReservation,0,110,1,13,0,24,1,9,0,3
exercice8,com.example,ReservationRefuseeException,0,4,0,0,0,2,0,1,0,1
exercice8,com.example,Reservation,0,33,0,0,0,12,0,6,0,6
exercice8,com.example,ConfirmationReservation,9,12,0,0,3,5,3,1,3,1
